Year,Vancouver,Calgary,Toronto,Ottawa,Montreal,Halifax
1986,,,"1,381",,,
1987,,,"1,544",,,
1988,,,"1,473",,,
1989,,,"1,484",,,
1990,,,"1,282",,,
1991,,,"1,550",,,
1992,,,"1,317",,,
1993,,,"1,299",,,
1994,,,"1,092",,,
1995,,,"1,102",,,
1996,,285,"1,031",,,
1997,,309,"1,203",,,
1998,,313,"1,295",,,
1999,,305,"1,148",274,,
2000,,280,"1,228",271,,
2001,,331,"1,279",256,,
2002,,266,"1,252",281,,
2003,,277,"1,173",288,,
2004,,298,"1,148",350,,
2005,,298,"1,137",310,,
2006,211,297,"1,042",301,756,
2007,158,263,"1,097",293,806,45
2008,181,285,"1,023",306,706,39
2009,191,222,"1,076",304,735,33
2010,228,197,"1,179",304,739,58
2011,,216,,,,
