Time,Address,Injury level,Age,Sex,Safety equipment,Primary event,Severity
2011-12-30 09:30:00,"CENTRE ST S & 8 AV SE, Calgary, AB, Canada",NO INJURY,37,F,No helmet,Struck object,Property damage
2011-12-29 17:00:00,"330 CANTERBURY DR SW, Calgary, AB, Canada",NO INJURY,0,M,Helmet,Right angle,Property damage
2011-12-29 15:30:00,"10 AV SW & 4 ST SW, Calgary, AB, Canada",MINOR INJURY,20,F,No helmet,Struck object,Injury
2011-12-23 18:20:00,"BOWNESS RD NW & 49 ST NW, Calgary, AB, Canada",MAJOR INJURY,19,M,Helmet,Struck object,Injury
2011-12-22 20:55:00,"HERITAGE DR SE & HERITAGE MEADOWS WY SE, Calgary, AB, Canada",MINOR INJURY,41,M,Helmet,Left turn across path,Injury
2011-12-20 20:30:00,"1339 36 ST SE, Calgary, AB, Canada",MAJOR INJURY,30,M,Helmet,Right angle,Injury
2011-12-09 15:00:00,"3819 MACLEOD TR S, Calgary, AB, Canada",NO INJURY,43,M,Helmet,Struck object,Property damage
2011-11-28 20:00:00,"HERITAGE DR SW & MACLEOD TR S, Calgary, AB, Canada",MINOR INJURY,48,M,Helmet,Struck object,Injury
2011-11-22 16:30:00,"10 AV SW & 13 ST SW, Calgary, AB, Canada",MINOR INJURY,26,M,Helmet,Right angle,Injury
2011-11-13 15:00:00,"MEMORIAL DR W & 3 ST NW, Calgary, AB, Canada",MINOR INJURY,40,F,No helmet,Struck object,Injury
2011-11-10 14:54:00,"SUNMILLS DR SE & SUNVALE DR SE, Calgary, AB, Canada",MINOR INJURY,71,M,No helmet,Right angle,Injury
2011-11-07,"7 AV SW & 8 ST SW, Calgary, AB, Canada",MINOR INJURY,47,M,Helmet,Struck object,Injury
2011-11-02 20:29:00,"EVERSTONE BV SW & JAMES MCKEVITT RD SW, Calgary, AB, Canada",NO INJURY,0,U,,Struck object,Property damage
2011-10-31 17:19:00,"DALHOUSIE DR NW & 53 ST NW, Calgary, AB, Canada",MINOR INJURY,52,M,No helmet,Passing-left turn,Injury
2011-10-31 08:30:00,"928 RADNOR AV NE, Calgary, AB, Canada",MINOR INJURY,13,M,,,Injury
2011-10-29 15:30:00,"DOVER RIDGE DR SE & 36 ST SE, Calgary, AB, Canada",MINOR INJURY,23,M,Helmet,,Injury
2011-10-25 15:15:00,"1 ST SW & 9 AV SW, Calgary, AB, Canada",MINOR INJURY,18,M,Helmet,Struck object,Injury
2011-10-24 18:30:00,"MCKNIGHT BV NE & 4 ST NE, Calgary, AB, Canada",MINOR INJURY,12,M,No helmet,Struck object,Injury
2011-10-23 13:05:00,"4500 17 AV SE, Calgary, AB, Canada",MINOR INJURY,22,M,Helmet,Right angle,Injury
2011-10-23 13:05:00,"4500 17 AV SE, Calgary, AB, Canada",MAJOR INJURY,45,M,Helmet,Right angle,Injury
2011-10-22 17:04:00,"MADIGAN DR NE & MEMORIAL DR E, Calgary, AB, Canada",MINOR INJURY,14,M,,Left turn across path,Injury
2011-10-18 07:23:00,"SACRAMENTO DR SW & SOUTHLAND DR SW, Calgary, AB, Canada",MINOR INJURY,59,M,No helmet,Struck object,Injury
2011-10-17 14:00:00,"33 AV SW, Calgary, AB, Canada",MINOR INJURY,44,M,,"Sideswipe, same direction",Injury
2011-10-17 12:00:00,"400 RIVERFRONT AV SE, Calgary, AB, Canada",DEATH,74,M,No helmet,Struck object,Fatal
2011-10-17 08:15:00,"703 HERITAGE DR SW, Calgary, AB, Canada",MINOR INJURY,41,F,No helmet,Passing-left turn,Injury
2011-10-16 15:10:00,"4726 8 AV SE, Calgary, AB, Canada",NO INJURY,0,U,,Passing-right turn,Property damage
2011-10-16 09:30:00,"5228 22 AV NW, Calgary, AB, Canada",NO INJURY,22,M,,Struck object,Property damage
2011-10-14 06:05:00,"COVENTRY CL NE & COVENTRY DR NE, Calgary, AB, Canada",NO INJURY,41,M,No helmet,Right angle,Property damage
2011-10-13 17:00:00,"17 AV SW & 7 ST SW, Calgary, AB, Canada",MINOR INJURY,26,M,No helmet,Left turn across path,Injury
2011-10-13 14:35:00,"WHITERAM WY NE & 44 AV NE, Calgary, AB, Canada",NO INJURY,13,M,Helmet,Struck object,Property damage
2011-10-13 08:50:00,"15 ST SW & 17 AV SW, Calgary, AB, Canada",MINOR INJURY,29,M,Helmet,Struck object,Injury
2011-10-12 16:14:00,"10 AV SW & 5 ST SW, Calgary, AB, Canada",NO INJURY,17,M,,"Sideswipe, same direction",Property damage
2011-10-12 08:25:00,"10 ST NW & 4 AV NW, Calgary, AB, Canada",MAJOR INJURY,36,M,No helmet,Left turn across path,Injury
2011-10-11 17:40:00,"4 ST NW & 40 AV NW, Calgary, AB, Canada",MAJOR INJURY,29,M,No helmet,Struck object,Injury
2011-10-11 17:00:00,"BEDDINGTON BV NW & BERWICK DR NW, Calgary, AB, Canada",MINOR INJURY,13,F,,Right angle,Injury
2011-10-11 15:10:00,"4000 37 ST SW, Calgary, AB, Canada",NO INJURY,18,M,No helmet,Struck object,Property damage
2011-10-11 08:17:00,"32 AV NE & 52 ST NE, Calgary, AB, Canada",NO INJURY,17,M,,Right angle,Property damage
2011-10-07 13:25:00,"3 ST SW & 7 AV SW, Calgary, AB, Canada",MAJOR INJURY,34,M,,Struck object,Injury
2011-10-07 12:15:00,"16 AV NW & 43 ST NW, Calgary, AB, Canada",MAJOR INJURY,37,M,Helmet,Struck object,Injury
2011-10-07 07:00:00,"12 ST NW & 21 AV NW, Calgary, AB, Canada",NO INJURY,29,M,No helmet,Struck object,Property damage
2011-10-06 14:40:00,"HERITAGE MEADOWS WY SE & 11 ST SE, Calgary, AB, Canada",MINOR INJURY,18,M,Helmet,Struck object,Injury
2011-10-05 22:40:00,"6617 CENTRE ST N, Calgary, AB, Canada",MINOR INJURY,18,M,Helmet,Struck object,Injury
2011-10-04 19:00:00,"88 CANADA OLYMPIC RD SW, Calgary, AB, Canada",MINOR INJURY,41,M,No helmet,Left turn across path,Injury
2011-10-03 16:50:00,"EVERSYDE AV SW & EVERSYDE BV SW, Calgary, AB, Canada",MINOR INJURY,49,M,,Struck object,Injury
2011-09-30 14:22:00,"COUNTRY HILLS BV NW & EDGEPARK BV NW, Calgary, AB, Canada",MINOR INJURY,14,M,No helmet,Struck object,Injury
2011-09-28 18:25:00,"AUBURN BAY HT SE & AUBURN BAY PL SE, Calgary, AB, Canada",MINOR INJURY,11,M,Helmet,Struck object,Injury
2011-09-27 07:20:00,"COPPERFIELD BV SE & MCIVOR BV SE, Calgary, AB, Canada",MINOR INJURY,30,F,Helmet,Right angle,Injury
2011-09-27 06:55:00,"ASHWORTH RD SE & HERITAGE DR SE, Calgary, AB, Canada",MINOR INJURY,25,M,No helmet,Left turn across path,Injury
2011-09-27 06:50:00,"19 ST NE & 41 AV NE, Calgary, AB, Canada",MINOR INJURY,38,M,No helmet,Struck object,Injury
2011-09-26 21:15:00,"162 AV SW & 6 ST SW, Calgary, AB, Canada",NO INJURY,42,M,Helmet,Right angle,Property damage
2011-09-24 19:30:00,"11 AV SW & 15 ST SW, Calgary, AB, Canada",NO INJURY,54,M,,Struck object,Property damage
2011-09-24 14:00:00,"ERIN MEADOW CL SE & ERIN WOODS DR SE, Calgary, AB, Canada",NO INJURY,5,F,No helmet,Right angle,Property damage
2011-09-22 18:15:00,"CRANLEIGH DR SE & CRANSTON BV SE, Calgary, AB, Canada",MINOR INJURY,47,F,No helmet,Struck object,Injury
