Time,Year,Age,Gender,Injury,Road condition,Weather condition,Street 2,Community,Street 1,Address,Charge section,Charge subsection,Charge
9-Aug-06 12:00:00 PM,2006,58,Male,Moderate - treated & released,"Normal, good",Clear,BROOK STREET,LUNENBURG,VICTORIA ROAD,"VICTORIA ROAD at BROOK STREET, LUNENBURG, NS, Canada",,,
31-Jan-07 2:35:00 PM,2007,21,Male,Not injured,"Normal, good",Clear,GASPEREAU AVENUE,WOLFVILLE,MAIN STREET,"MAIN STREET at GASPEREAU AVENUE, WOLFVILLE, NS, Canada",,,
1-Jan-07 12:05:00 AM,2007,34,Male,Moderate - treated & released,"Normal, good",Clear,HOLLY STREET,SYDNEY,TERRACE STREET,"TERRACE STREET at HOLLY STREET, SYDNEY, NS, Canada",,,
24-Feb-07 2:55:00 PM,2007,37,Male,Minor - no treatment,"Normal, good","Overcast, cloudy but no precipitation",GOTTIGEN STREET,HALIFAX,CORNWALLIS STREET,"CORNWALLIS STREET at GOTTIGEN STREET, HALIFAX, NS, Canada",171,2,171(2)
13-Feb-07 9:44:00 AM,2007,37,Female,Moderate - treated & released,"Normal, good",Clear,BELL RD.,HALIFAX,SACKVILLE ST.,"SACKVILLE ST. at BELL RD., HALIFAX, NS, Canada",,,
26-Feb-07 9:10:00 AM,2007,22,Male,Moderate - treated & released,"Normal, good",Clear,AGRICOLA ST.,HALIFAX,NORTH ST.,"NORTH ST. at AGRICOLA ST., HALIFAX, NS, Canada",,,
10-Jul-06 11:14:00 PM,2006,22,Male,Major - hospitalized,"Normal, good",Clear,,SYDNEY,PARK ST.,"PARK ST. at , SYDNEY, NS, Canada",,,
27-Mar-07 9:45:00 PM,2007,,Unknown,Unknown,"Normal, good",Clear,ST. MARGARETS BAY RD.,HUBLEY,HUBLEY RD.,"HUBLEY RD. at ST. MARGARETS BAY RD., HUBLEY, NS, Canada",,,
12-Mar-07 9:33:00 AM,2007,23,Female,Moderate - treated & released,"Normal, good",Clear,ROBIE STREET,HALIFAX,QUINPOOL ROAD,"QUINPOOL ROAD at ROBIE STREET, HALIFAX, NS, Canada",,,
24-Mar-07 4:31:00 PM,2007,34,Male,Moderate - treated & released,"Normal, good",Clear,WELSFORD,HALIFAX,ROBIE STREET,"ROBIE STREET at WELSFORD, HALIFAX, NS, Canada",,,
8-Mar-07 11:23:00 PM,2007,21,Female,Moderate - treated & released,"Normal, good",Clear,,HALIFAX,AHERN STREET,"AHERN STREET at , HALIFAX, NS, Canada",,,
31-May-07 8:27:00 AM,2007,23,Male,Moderate - treated & released,"Normal, good",Clear,JOFFRE STREET,DARTMOUTH,PORTLAND STREET,"PORTLAND STREET at JOFFRE STREET, DARTMOUTH, NS, Canada",,,
15-Mar-07 5:18:00 PM,2007,34,Male,Not injured,"Normal, good","Fog, mist, smog",,HALIFAX,YOUNG ST.,"YOUNG ST. at , HALIFAX, NS, Canada",,,
16-Mar-07 1:30:00 PM,2007,23,Male,Unknown,"Normal, good",Clear,,HALIFAX,LACEWOOD DRIVE,"LACEWOOD DRIVE at , HALIFAX, NS, Canada",,,
20-Mar-07 6:16:00 AM,2007,22,Male,Minor - no treatment,"Normal, good",Clear,,HALIFAX,BAYERS ROAD,"BAYERS ROAD at , HALIFAX, NS, Canada",,,
8-Apr-07 11:15:00 AM,2007,28,Male,Major - hospitalized,"Normal, good",Raining,LING STREET,GLACE BAY,HIGHLAND STREET,"HIGHLAND STREET at LING STREET, GLACE BAY, NS, Canada",,,
7-Apr-07 2:25:00 PM,2007,59,Male,Minor - no treatment,"Normal, good","Overcast, cloudy but no precipitation",HIRTLE COVE ROAD,OAKLAND,OAKLAND ROAD,"OAKLAND ROAD at HIRTLE COVE ROAD, OAKLAND, NS, Canada",,,
