Time,Address
2006-01-13 07:45,"5778 NOTRE DAME E, Montreal, Canada"
2006-01-14 16:45,"GARNEAU & BERRI, Montreal, Canada"
2006-01-25 07:30,"SHERBROOKE & DU MUSEE, Montreal, Canada"
2006-02-02 00:00,"MILLEN & LEGENDRE, Montreal, Canada"
2006-02-02 16:05,"1606 STE CATHERINE O, Montreal, Canada"
2006-02-03 15:40,"DE LA GAUCHETIERE & BEAVER HALL, Montreal, Canada"
2006-02-08 15:15,"PAPINEAU & DE MAISONNEUVE, Montreal, Canada"
2006-02-14 11:45,"ROSEMONT & IBERVILLE, Montreal, Canada"
2006-02-16 16:10,"STE CATHERINE & CLARK, Montreal, Canada"
2006-02-19 18:18,"ROUEN & DAVIDSON, Montreal, Canada"
2006-03-02 14:55,"ONTARIO & BERRI, Montreal, Canada"
2006-03-07 19:22,"LEGENDRE & 9E AV, Montreal, Canada"
2006-03-07 19:22,"LEGENDRE & 9E AV, Montreal, Canada"
2006-03-08 11:17,"VERDUN & HICKSON, Montreal, Canada"
2006-03-10 17:32,"SHERBROOKE & ADDINGTON, Montreal, Canada"
2006-03-11 03:55,"STE CATHERINE & ST URBAIN, Montreal, Canada"
2006-03-11 17:10,"STE MARGUERITE & ST ANTOINE, Montreal, Canada"
2006-03-16 13:00,"ST ANTOINE & CATHEDRALE, Montreal, Canada"
2006-03-20 19:29,"DES PINS & CLARK, Montreal, Canada"
2006-03-22 16:00,"PIE IX & DES GRANDES PRAIRIES, Montreal, Canada"
2006-03-23 09:25,"YOUNG & WILLIAM, Montreal, Canada"
2006-03-23 13:22,"PAPINEAU & BELLECHASSE, Montreal, Canada"
2006-03-24 07:35,"NOTRE DAME & 34E AV, Montreal, Canada"
2006-03-24 16:00,"LAURIER & DROLET, Montreal, Canada"
2006-03-25 13:00,"PROVOST & 3E AV, Montreal, Canada"
2006-03-25 18:40,"EARNSCLIFFE & COTE ST LUC, Montreal, Canada"
2006-03-26 19:24,"PERRAS & ARMAND BOMBARDIER, Montreal, Canada"
2006-03-28 07:25,"PLESSIS & DE MAISONNEUVE, Montreal, Canada"
2006-03-28 07:30,"2555 PROVOST , Montreal, Canada"
2006-03-28 08:55,"CURATTEAU & BOUCHERVILLE, Montreal, Canada"
2006-03-28 11:37,"SHERBROOKE & DICKSON, Montreal, Canada"
2006-03-28 13:00,"ST PHILIPPE & ST JACQUES, Montreal, Canada"
2006-03-28 14:25,"1208 LAJOIE , Montreal, Canada"
2006-03-28 15:40,"2535 DE GRANBY , Montreal, Canada"
2006-03-29 08:54,"RIVERSIDE & MILL, Montreal, Canada"
2006-03-29 09:05,"ST LAURENT & ROY, Montreal, Canada"
2006-03-30 08:18,"STE CATHERINE & PARK, Montreal, Canada"
2006-03-30 17:20,"1500 STE CATHERINE O, Montreal, Canada"
2006-03-30 21:32,"RACHEL & CHAPLEAU, Montreal, Canada"
2006-03-31 00:00,"FLEURY & D'AUTEUIL, Montreal, Canada"
2006-03-31 15:10,"3980 LASALLE , Montreal, Canada"
2006-03-31 20:45,"DE LORIMIER & AUGIER, Montreal, Canada"
2006-04-01 16:20,"10350 PIE IX , Montreal, Canada"
2006-04-02 12:35,"GILFORD & BREBEUF, Montreal, Canada"
2006-04-03 08:13,"BELLECHASSE & 35E AV, Montreal, Canada"
2006-04-03 13:23,"ROPERY & CENTRE, Montreal, Canada"
2006-04-06 14:24,"DES HALLES & DES GALERIES D'ANJOU, Montreal, Canada"
2006-04-07 16:30,"STUART & COTE STE CATHERINE, Montreal, Canada"
2006-04-09 12:40,"ST DENIS & BELLECHASSE, Montreal, Canada"
2006-04-09 13:00,"ST HUBERT & RENE LEVESQUE, Montreal, Canada"
2006-04-09 16:45,"182 VIAU , Montreal, Canada"
2006-04-10 17:45,"ST HUBERT & RACHEL, Montreal, Canada"
2006-04-11 08:00,"ST JEAN & SALABERRY, Montreal, Canada"
2006-04-12 08:40,"PRINCE ARTHUR & CLARK, Montreal, Canada"
2006-04-12 13:00,"STE CATHERINE & DRUMMOND, Montreal, Canada"
2006-04-12 15:00,"RIVARD & RACHEL, Montreal, Canada"
2006-04-12 15:25,"VIGER & ST LAURENT, Montreal, Canada"
2006-04-13 17:10,"RACHEL & DE BULLION, Montreal, Canada"
2006-04-13 22:50,"456 ST LAURENT , Montreal, Canada"
2006-04-14 00:00,"STE CATHERINE & JEANNE D'ARC, Montreal, Canada"
2006-04-17 06:15,"ST DENIS & ROSEMONT, Montreal, Canada"
2006-04-18 15:21,"SHERBROOKE & PAPINEAU, Montreal, Canada"
2006-04-19 08:07,"VIGER & BERRI, Montreal, Canada"
2006-04-19 08:10,"ROSEMONT & 15E AV, Montreal, Canada"
2006-04-19 15:50,"ST GERMAIN & ROCHON, Montreal, Canada"
2006-04-19 18:40,"WOODLAND & VERDUN, Montreal, Canada"
2006-04-19 19:45,"LASALLE & GALT, Montreal, Canada"
2006-04-20 09:50,"MAURICE DUPLESSIS & CLEMENT ADER, Montreal, Canada"
2006-04-20 16:00,"6 STE ANNE , Montreal, Canada"
2006-04-20 17:10,"TAILLON & HOCHELAGA, Montreal, Canada"
2006-04-21 13:10,"50 GOUIN , Montreal, Canada"
2006-04-21 18:20,"1063 PERRAS , Montreal, Canada"
2006-04-21 18:30,"LAURENDEAU & GALT, Montreal, Canada"
2006-04-22 17:27,"HERMITAGE & AUTO PLAZA, Montreal, Canada"
2006-04-24 03:00,"ST ANTOINE & GUY, Montreal, Canada"
