id,Time,Address,Street 1,Street 2,Street 3,Impact type,Environment,Light,Traffic control,Severity,Number of vehicles,Number of injured persons,Number of pedestrians
100373136,2010-12-16 16:30:00,"CHESTERTON DR at MULVAGH AVE, Ottawa, ON, Canada",CHESTERTON DR,MULVAGH AVE,SOUTHVIEW CRES W,Turning Movement,Clear,Dusk,No control,Non-fatal injury,2,1,0
100366633,2010-12-09 17:35:00,"LOLA ST at PRESLAND RD, Ottawa, ON, Canada",LOLA ST,PRESLAND RD,,Angle,Clear,Dark,Stop Sign,Non-fatal injury,2,1,0
100360488,2010-12-03 14:41:00,"LYON ST at SOMERSET ST, Ottawa, ON, Canada",LYON ST,SOMERSET ST,,Turning Movement,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100358859,2010-12-02 00:16:00,"HWY 417 WOODROFF IC127R6 at WOODROFFE AVE, Ottawa, ON, Canada",HWY 417 WOODROFF IC127R6,WOODROFFE AVE,,Rear End,Clear,Dark,No control,Non-fatal injury,2,1,0
100358514,2010-12-01 16:10:00,"NEPEAN ST at O'CONNOR ST, Ottawa, ON, Canada",NEPEAN ST,O'CONNOR ST,,Angle,Rain,Dusk,Stop Sign,Non-fatal injury,2,1,0
100358129,2010-12-01 09:15:00,"KENT ST at LISGAR ST, Ottawa, ON, Canada",KENT ST,LISGAR ST,,Angle,Clear,Daylight,Stop Sign,P.D. Only,2,0,0
100384764,2010-11-25 07:27:00,"KENT ST at SLATER ST, Ottawa, ON, Canada",KENT ST,SLATER ST,,Angle,Clear,Daylight,Traffic Signal,P.D. Only,2,0,0
100350268,2010-11-23 13:15:00,"EARL GREY DR at KANATA AVE, Ottawa, ON, Canada",EARL GREY DR,KANATA AVE,,Sideswipe,Clear,Daylight,Traffic Signal,Non-fatal injury,2,1,0
100349688,2010-11-22 20:00:00,"BANK ST at CLAREY AVE, Ottawa, ON, Canada",BANK ST,CLAREY AVE,HOLMWOOD AVE,Sideswipe,"Smoke, Dust",Dark,No control,P.D. Only,2,0,0
100349571,2010-11-22 19:19:00,"FRANK ST at METCALFE ST, Ottawa, ON, Canada",FRANK ST,METCALFE ST,,Angle,Rain,Dark,Stop Sign,Non-fatal injury,2,1,0
100345336,2010-11-18 18:56:00,"BYRON AVE at LOCKHART AVE W, Ottawa, ON, Canada",BYRON AVE,LOCKHART AVE W,,Turning Movement,Clear,Dark,Stop Sign,Non-fatal injury,2,1,0
